id,clearanceType,time,type
"NAPOLI","Runway Change",1549641061000,"DEP"
"NAPOLI","Runway Entry Change",1549641061000,"DEP"
"ADH124","Runway Change",1549641061000,"DEP"
"ADH124","Runway Entry Change",1549641061000,"DEP"
"AEA406","Runway Change",1549641061000,"DEP"
"AEA406","Runway Entry Change",1549641061000,"DEP"
"AUA516P","Runway Change",1549641061000,"DEP"
"AUA516P","Runway Entry Change",1549641061000,"DEP"
"EZY363E","Runway Change",1549641061000,"DEP"
"EZY363E","Runway Entry Change",1549641061000,"DEP"
"ADH138","Runway Change",1549641061000,"DEP"
"ADH138","Runway Entry Change",1549641061000,"DEP"
"EZY152X","Runway Change",1549641061000,"DEP"
"EZY152X","Runway Entry Change",1549641061000,"DEP"
"AEA406","Startup Clearance",1549641070000,"DEP"
"AUA516P","Startup Clearance",1549641070000,"DEP"
"EZY363E","Startup Clearance",1549641070000,"DEP"
"ADH138","Startup Clearance",1549641071000,"DEP"
"AEA406","Pushback Clearance",1549641093000,"DEP"
"AUA516P","Taxi Clearance",1549641094000,"DEP"
"EZY363E","Pushback Clearance",1549641095000,"DEP"
"ADH138","Taxi Clearance",1549641096000,"DEP"
"EZY363E","Taxi Clearance",1549641098000,"DEP"
"AEA406","Taxi Clearance",1549641098000,"DEP"
"AUA516P","Lineup Clearance",1549641144000,"DEP"
"AUA516P","Takeoff Clearance",1549641146000,"DEP"
"NOS436","Runway Change",1549641230000,"DEP"
"NOS436","Runway Entry Change",1549641230000,"DEP"
"EZY152X","Startup Clearance",1549641242000,"DEP"
"ADH138","Lineup Clearance",1549641291000,"DEP"
"EZY152X","Pushback Clearance",1549641310000,"DEP"
"EZY152X","Taxi Clearance",1549641315000,"DEP"
"ADH138","Takeoff Clearance",1549641334000,"DEP"
"EZY363E","Taxi Clearance",1549641376000,"DEP"
"EZY363E","Runway Entry Change",1549641389000,"DEP"
"EZY152X","Runway Entry Change",1549641396000,"DEP"
"EZY287C","Runway Change",1549641470000,"DEP"
"EZY287C","Runway Entry Change",1549641470000,"DEP"
"TAR757","Runway Change",1549641590000,"DEP"
"TAR757","Runway Entry Change",1549641590000,"DEP"
"ADH646","Runway Change",1549641590000,"DEP"
"ADH646","Runway Entry Change",1549641590000,"DEP"
"ADH124","Startup Clearance",1549641652000,"DEP"
"NOS436","Startup Clearance",1549641654000,"DEP"
"EZY54HY","Runway Change",1549641770000,"DEP"
"EZY54HY","Runway Entry Change",1549641770000,"DEP"
"AUA516P","Runway Entry Change",1549641061000,"DEP"
"EZY54HY","Runway Entry Change",1549641770000,"DEP"
"EZY287C","Runway Change",1549641470000,"DEP"
"EZY152X","Pushback Clearance",1549641310000,"DEP"
"ADH138","Runway Entry Change",1549641061000,"DEP"
"ADH138","Lineup Clearance",1549641291000,"DEP"
"EZY152X","Runway Entry Change",1549641061000,"DEP"
"NAPOLI","Runway Change",1549641061000,"DEP"
"TAR757","Runway Change",1549641590000,"DEP"
"EZY363E","Runway Entry Change",1549641061000,"DEP"
"AEA406","Pushback Clearance",1549641093000,"DEP"
"AEA406","Runway Change",1549641061000,"DEP"
"ADH124","Runway Entry Change",1549641061000,"DEP"
"EZY363E","Startup Clearance",1549641070000,"DEP"
"ADH124","Startup Clearance",1549641652000,"DEP"
"ADH124","Runway Change",1549641061000,"DEP"
"AUA516P","Taxi Clearance",1549641094000,"DEP"
"EZY363E","Pushback Clearance",1549641095000,"DEP"
"NOS436","Startup Clearance",1549641654000,"DEP"
"AEA406","Runway Entry Change",1549641061000,"DEP"
"TAR757","Runway Entry Change",1549641590000,"DEP"
"EZY363E","Runway Entry Change",1549641389000,"DEP"
"ADH138","Runway Change",1549641061000,"DEP"
"AEA406","Startup Clearance",1549641070000,"DEP"
"NOS436","Runway Change",1549641230000,"DEP"
"AUA516P","Lineup Clearance",1549641144000,"DEP"
"EZY363E","Taxi Clearance",1549641376000,"DEP"
"EZY152X","Runway Entry Change",1549641396000,"DEP"
"EZY363E","Runway Change",1549641061000,"DEP"
"AUA516P","Takeoff Clearance",1549641146000,"DEP"
"NAPOLI","Runway Entry Change",1549641061000,"DEP"
"EZY152X","Startup Clearance",1549641242000,"DEP"
"AEA406","Taxi Clearance",1549641098000,"DEP"
"AUA516P","Startup Clearance",1549641070000,"DEP"
"EZY152X","Taxi Clearance",1549641315000,"DEP"
"AUA516P","Runway Change",1549641061000,"DEP"
"ADH138","Startup Clearance",1549641071000,"DEP"
"ADH646","Runway Change",1549641590000,"DEP"
"EZY287C","Runway Entry Change",1549641470000,"DEP"
"ADH646","Runway Entry Change",1549641590000,"DEP"
"EZY152X","Runway Change",1549641061000,"DEP"
"EZY363E","Taxi Clearance",1549641098000,"DEP"
"ADH138","Takeoff Clearance",1549641334000,"DEP"
"NOS436","Runway Entry Change",1549641230000,"DEP"
"EZY54HY","Runway Change",1549641770000,"DEP"
"ADH138","Taxi Clearance",1549641096000,"DEP"
