position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-05-30 10:58:02.433","drone","QMZRT7Gv4UApn9MU42pS",1549641060000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","false"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-05-30 10:58:02.433","drone","qoopWEJxrV9L7iUixmvy",1549641060000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","false"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-05-30 10:58:02.433","drone","UsiPG9VeAKP77wo3o4y5",1549641060000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","false"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-05-30 10:58:02.433","drone","qoopWEJxrV9L7iUixmvy",1549641061000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-05-30 10:58:02.433","drone","UsiPG9VeAKP77wo3o4y5",1549641061000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-05-30 10:58:02.433","drone","QMZRT7Gv4UApn9MU42pS",1549641061000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-05-30 10:58:02.433","drone","QMZRT7Gv4UApn9MU42pS",1549641062000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-05-30 10:58:02.433","drone","UsiPG9VeAKP77wo3o4y5",1549641062000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-05-30 10:58:02.433","drone","qoopWEJxrV9L7iUixmvy",1549641062000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-05-30 10:58:02.433","drone","UsiPG9VeAKP77wo3o4y5",1549641064000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-05-30 10:58:02.433","plane","NAPOLI",1549641064000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-05-30 10:58:02.433","plane","AUA516P",1549641064000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-05-30 10:58:02.433","plane","ADH124",1549641064000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-05-30 10:58:02.433","plane","ADH138",1549641064000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-05-30 10:58:02.433","plane","EZY363E",1549641064000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-05-30 10:58:02.433","plane","AEA406",1549641064000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-05-30 10:58:02.433","drone","QMZRT7Gv4UApn9MU42pS",1549641064000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-05-30 10:58:02.433","plane","EZY152X",1549641064000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-05-30 10:58:02.433","drone","qoopWEJxrV9L7iUixmvy",1549641064000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-05-30 10:58:02.433","drone","QMZRT7Gv4UApn9MU42pS",1549641065000,false,false,false,3,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-05-30 10:58:02.433","drone","UsiPG9VeAKP77wo3o4y5",1549641065000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
