id,clearanceType,time,type
"NAPOLI","Runway Change",1549641061000,"DEP"
"NAPOLI","Runway Entry Change",1549641061000,"DEP"
"ADH124","Runway Change",1549641061000,"DEP"
"ADH124","Runway Entry Change",1549641061000,"DEP"
"AEA406","Runway Change",1549641061000,"DEP"
"AEA406","Runway Entry Change",1549641061000,"DEP"
"AUA516P","Runway Change",1549641061000,"DEP"
"AUA516P","Runway Entry Change",1549641061000,"DEP"
"EZY363E","Runway Change",1549641061000,"DEP"
"EZY363E","Runway Entry Change",1549641061000,"DEP"
"ADH138","Runway Change",1549641061000,"DEP"
"ADH138","Runway Entry Change",1549641061000,"DEP"
"EZY152X","Runway Change",1549641061000,"DEP"
"EZY152X","Runway Entry Change",1549641061000,"DEP"
"AEA406","Startup Clearance",1549641093000,"DEP"
"AUA516P","Startup Clearance",1549641093000,"DEP"
"EZY363E","Startup Clearance",1549641094000,"DEP"
"ADH138","Startup Clearance",1549641094000,"DEP"
"ADH138","Taxi Clearance",1549641102000,"DEP"
"EZY363E","Pushback Clearance",1549641102000,"DEP"
"AUA516P","Taxi Clearance",1549641103000,"DEP"
"AEA406","Pushback Clearance",1549641104000,"DEP"
"EZY363E","Taxi Clearance",1549641106000,"DEP"
"AEA406","Taxi Clearance",1549641106000,"DEP"
"AUA516P","Lineup Clearance",1549641140000,"DEP"
"AUA516P","Takeoff Clearance",1549641140000,"DEP"
"NOS436","Runway Change",1549641230000,"DEP"
"NOS436","Runway Entry Change",1549641230000,"DEP"
"EZY152X","Startup Clearance",1549641251000,"DEP"
"EZY152X","Pushback Clearance",1549641259000,"DEP"
"EZY152X","Taxi Clearance",1549641261000,"DEP"
"EZY363E","Runway Entry Change",1549641281000,"DEP"
"ADH138","Lineup Clearance",1549641297000,"DEP"
"ADH138","Takeoff Clearance",1549641297000,"DEP"
"EZY152X","Runway Entry Change",1549641340000,"DEP"
"AEA406","Lineup Clearance",1549641441000,"DEP"
"AEA406","Takeoff Clearance",1549641441000,"DEP"
"EZY287C","Runway Change",1549641470000,"DEP"
"EZY287C","Runway Entry Change",1549641470000,"DEP"
"ADH124","Startup Clearance",1549641564000,"DEP"
"ADH124","Taxi Clearance",1549641574000,"DEP"
"TAR757","Runway Change",1549641590000,"DEP"
"TAR757","Runway Entry Change",1549641590000,"DEP"
"ADH646","Runway Change",1549641590000,"DEP"
"ADH646","Runway Entry Change",1549641590000,"DEP"
"EZY152X","Runway Change",1549641601000,"DEP"
"EZY152X","Runway Entry Change",1549641601000,"DEP"
"EZY363E","Lineup Clearance",1549641639000,"DEP"
"EZY363E","Takeoff Clearance",1549641639000,"DEP"
"ADH124","Runway Change",1549641664000,"DEP"
"ADH124","Runway Entry Change",1549641664000,"DEP"
"EZY152X","Lineup Clearance",1549641710000,"DEP"
"EZY152X","Takeoff Clearance",1549641710000,"DEP"
"NOS436","Startup Clearance",1549641720000,"DEP"
"NOS436","Taxi Clearance",1549641732000,"DEP"
"NOS436","Runway Change",1549641748000,"DEP"
"NOS436","Runway Entry Change",1549641748000,"DEP"
"EZY54HY","Runway Change",1549641770000,"DEP"
"EZY54HY","Runway Entry Change",1549641770000,"DEP"
"ADH124","Taxi Clearance",1549641806000,"DEP"
"EZY22XF","Runway Change",1549641830000,"DEP"
"EZY22XF","Runway Entry Change",1549641830000,"DEP"
"TAR757","Startup Clearance",1549641869000,"DEP"
"TAR757","Pushback Clearance",1549641878000,"DEP"
"TAR757","Taxi Clearance",1549641880000,"DEP"
"ADH124","Lineup Clearance",1549641921000,"DEP"
"ADH124","Takeoff Clearance",1549641921000,"DEP"
"NOS436","Taxi Clearance",1549641929000,"DEP"
"TAR757","Runway Entry Change",1549641935000,"DEP"
"TAR757","Lineup Clearance",1549641973000,"DEP"
"NOS436","Lineup Clearance",1549641976000,"DEP"
"NOS436","Takeoff Clearance",1549642019000,"DEP"
"WZZ2TY","Runway Change",1549642070000,"DEP"
"WZZ2TY","Runway Entry Change",1549642070000,"DEP"
"TAR757","Takeoff Clearance",1549642082000,"DEP"
"DLH1LC","Runway Change",1549642190000,"DEP"
"DLH1LC","Runway Entry Change",1549642190000,"DEP"
