position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-07-18 10:14:52.717","plane","EZY363E",1549641132000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-07-18 10:14:52.717","plane","ADH124",1549641132000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-07-18 10:14:52.717","plane","NAPOLI",1549641134000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.624500450522106","lng":"8.691429134552454"},"LIMC","2022-07-18 10:14:52.717","drone","xs2LzjI4LbmYznKdhzPt",1549641135000,false,false,true,6,"ok","none","Drone_02"," - Flutter App",85,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-07-18 10:14:52.717","plane","ADH124",1549641140000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-07-18 10:14:52.717","drone","T8L77hbWeSoixPwGGGQ8",1549641141000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62403727736827","lng":"8.717907119052176"},"LIMC","2022-07-18 10:14:52.717","plane","AEA406",1549641144000,true,true,false,0,"ok","PUSHINGBACK","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-07-18 10:14:52.717","plane","EZY152X",1549641150000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-07-18 10:14:52.717","drone","vhvWMZtKNhZYHbAS7L5g",1549641150000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-07-18 10:14:52.717","plane","NAPOLI",1549641151000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62448754877359","lng":"8.691198395980226"},"LIMC","2022-07-18 10:14:52.717","drone","xs2LzjI4LbmYznKdhzPt",1549641132000,false,false,true,6,"ok","none","Drone_02"," - Flutter App",0,"iGbdly63CmE9yNzl8Xus","true"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-07-18 10:14:52.717","drone","T8L77hbWeSoixPwGGGQ8",1549641131000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-07-18 10:14:52.717","plane","EZY363E",1549641133000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-07-18 10:14:52.717","plane","ADH138",1549641133000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62407488968135","lng":"8.717868580218557"},"LIMC","2022-07-18 10:14:52.717","plane","AEA406",1549641134000,true,true,false,0,"ok","PUSHINGBACK","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-07-18 10:14:52.717","plane","NAPOLI",1549641135000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62406736721976","lng":"8.71787628798942"},"LIMC","2022-07-18 10:14:52.717","plane","AEA406",1549641136000,true,true,false,0,"ok","PUSHINGBACK","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.6400285966966","lng":"8.676809179565437"},"LIMC","2022-07-18 10:14:52.717","drone","vhvWMZtKNhZYHbAS7L5g",1549641137000,false,false,false,3,"ok","none","Drone_01"," - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-07-18 10:14:52.717","plane","ADH138",1549641138000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.608698390152185","lng":"8.684331940902101"},"LIMC","2022-07-18 10:14:52.717","drone","T8L77hbWeSoixPwGGGQ8",1549641139000,false,false,false,3,"ok","none","Drone_03"," - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-07-18 10:14:52.717","plane","AUA516P",1549641139000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-07-18 10:14:52.717","plane","EZY152X",1549641140000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-07-18 10:14:52.717","plane","ADH138",1549641144000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-07-18 10:14:52.717","plane","EZY363E",1549641145000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-07-18 10:14:52.717","plane","ADH124",1549641150000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
